1 6 11022831 1 1 29
1 4 11022832 1 1 29
1 2 11022833 1 1 29
2 0 11022841 2 1 29
2 0 11022842 2 1 29
2 1 11022843 2 1 29
1 2 11022931 1 1 29
1 2 11022932 1 1 29
1 2 11022933 1 1 29
2 0 11022942 2 1 29
2 0 11022943 2 1 29
1 0 11023031 1 1 29
1 3 11023032 1 1 29
1 2 11023033 1 1 29
2 0 11023041 2 1 29
2 0 11023043 2 1 29
1 0 11123131 1 1 29
1 2 11123132 1 1 29
1 9 11123133 1 1 29
2 0 11123141 2 1 29
2 0 11123142 2 1 29
1 10 11123231 1 1 29
1 0 11123232 1 1 29
2 0 11123242 2 1 29
1 2 11123331 1 1 29
1 4 11123332 1 1 29
1 0 11123333 1 1 29
2 0 11123341 2 1 29
2 0 11123342 2 1 29
2 0 11123343 2 1 29
1 0 112131 1 1 25
1 1 112132 1 1 25
1 0 112133 1 1 25
2 0 112141 2 1 25
2 0 112142 2 1 25
2 0 112143 2 1 25
1 0 112231 1 1 25
1 0 112232 1 1 25
1 5 112233 1 1 25
1 2 11223431 1 1 29
1 5 11223432 1 1 29
1 1 11223433 1 1 29
2 0 11223441 2 1 29
1 2 11223531 1 1 30
1 0 11223532 1 1 30
1 2 11223533 1 1 30
2 5 11223542 2 1 30
2 0 11223543 2 1 30
1 0 11223631 1 1 30
1 2 11223632 1 1 30
1 0 11223633 1 1 30
2 1 11223641 2 1 30
2 2 11223642 2 1 30
2 0 11223643 2 1 30
2 0 112241 2 1 25
2 0 112242 2 1 25
2 0 112243 2 1 25
1 0 112331 1 1 25
1 1 112332 1 1 25
1 1 112333 1 1 25
2 0 112341 2 1 25
2 0 112343 2 1 25
1 3 11323731 1 1 30
1 4 11323732 1 1 30
1 1 11323733 1 1 30
2 0 11323741 2 1 30
2 0 11323742 2 1 30
2 0 11323743 2 1 30
1 8 11323831 1 1 30
1 2 11323832 1 1 30
1 10 11323833 1 1 30
2 1 11323841 2 1 30
2 2 11323842 2 1 30
1 3 11323931 1 1 30
1 7 11323932 1 1 30
1 10 11323933 1 1 30
2 0 11323941 2 1 30
2 4 11323943 2 1 30
1 4 11424031 1 1 30
1 2 11424032 1 1 30
1 2 11424033 1 1 30
2 1 11424041 2 1 30
2 9 11424042 2 1 30
2 0 11424043 2 1 30
1 1 11424131 1 1 30
1 1 11424132 1 1 30
1 6 11424133 1 1 30
2 1 11424141 2 1 30
2 8 11424142 2 1 30
2 0 11424143 2 1 30
1 5 11524331 1 1 31
1 9 11524332 1 1 31
1 0 11524333 1 1 31
2 0 11524341 2 1 31
2 6 11524342 2 1 31
2 0 11524343 2 1 31
1 5 11524431 1 1 31
1 7 11524432 1 1 31
1 9 11524433 1 1 31
2 0 11524441 2 1 31
2 0 11524442 2 1 31
2 1 11524443 2 1 31
1 2 11524531 1 1 31
1 9 11524532 1 1 31
1 0 11524533 1 1 31
2 0 11524541 2 1 31
2 0 11524542 2 1 31
2 0 11524543 2 1 31
1 1 11624631 1 1 31
1 1 11624632 1 1 31
1 1 11624633 1 1 31
2 1 11624641 2 1 31
1 2 11624731 1 1 31
1 6 11624732 1 1 31
1 0 11624733 1 1 31
2 3 11624741 2 1 31
2 7 11624742 2 1 31
2 1 11624743 2 1 31
1 7 11724931 1 1 31
1 2 11724932 1 1 31
1 10 11724933 1 1 31
2 6 11724941 2 1 31
