112131 0 1 25
112132 1 1 25
112133 0 1 25
112231 0 1 25
112232 0 1 25
112233 5 1 25
112331 0 1 25
112332 1 1 25
112333 1 1 25
122431 1 1 26
122531 0 1 26
122532 1 1 26
122533 3 1 26
122631 1 1 26
122632 0 1 26
122633 0 1 26
132731 10 1 26
132732 10 1 26
132733 4 1 26
132831 0 1 26
132832 2 1 26
132833 6 1 26
132931 5 1 26
132932 1 1 26
132933 0 1 26
1421031 1 1 26
1421032 0 1 26
1421033 1 1 26
1421131 10 1 27
1421132 5 1 27
1421133 10 1 27
1421231 10 1 27
1421232 0 1 27
1421233 10 1 27
1521433 8 1 27
1521531 7 1 27
1521532 3 1 27
1521533 0 1 27
1621731 4 1 27
1621732 6 1 27
1621733 7 1 27
1621831 9 1 27
1621832 3 1 27
1621833 3 1 27
1721931 3 1 28
1721932 7 1 28
1721933 7 1 28
1722031 3 1 28
1722032 1 1 28
1722033 3 1 28
1722133 6 1 28
1822231 0 1 28
1822232 4 1 28
1822233 7 1 28
1822331 6 1 28
1822332 8 1 28
1822333 3 1 28
1822431 0 1 28
1822432 5 1 28
1822433 7 1 28
1922531 0 1 28
1922532 0 1 28
1922533 2 1 28
1922631 0 1 28
1922632 2 1 28
1922633 5 1 28
1922731 7 1 29
1922732 8 1 29
11022831 6 1 29
11022832 4 1 29
11022833 2 1 29
11022931 2 1 29
11022932 2 1 29
11022933 2 1 29
11023031 0 1 29
11023032 3 1 29
11023033 2 1 29
11123131 0 1 29
11123132 2 1 29
11123133 9 1 29
11123231 10 1 29
11123232 0 1 29
11123331 2 1 29
11123332 4 1 29
11123333 0 1 29
11223431 2 1 29
11223432 5 1 29
11223433 1 1 29
11223531 2 1 30
11223532 0 1 30
11223533 2 1 30
11223631 0 1 30
11223632 2 1 30
11223633 0 1 30
11323731 3 1 30
11323732 4 1 30
11323733 1 1 30
11323831 8 1 30
11323832 2 1 30
11323833 10 1 30
11323931 3 1 30
11323932 7 1 30
11323933 10 1 30
11424031 4 1 30
11424032 2 1 30
11424033 2 1 30
11424131 1 1 30
11424132 1 1 30
11424133 6 1 30
11524331 5 1 31
11524332 9 1 31
11524333 0 1 31
11524431 5 1 31
11524432 7 1 31
11524433 9 1 31
11524531 2 1 31
11524532 9 1 31
11524533 0 1 31
11624631 1 1 31
11624632 1 1 31
11624633 1 1 31
11624731 2 1 31
11624732 6 1 31
11624733 0 1 31
11724931 7 1 31
11724932 2 1 31
11724933 10 1 31
11725031 1 1 31
11725032 7 1 31
11725131 7 1 32
11725132 2 1 32
11725133 6 1 32
11825231 4 1 32
11825232 5 1 32
11825233 0 1 32
11825331 4 1 32
11825332 2 1 32
11825333 9 1 32
11825431 9 1 32
11825432 8 1 32
11825433 0 1 32
11925531 1 1 32
11925532 1 1 32
11925533 3 1 32
11925731 8 1 32
12025831 4 1 32
12025832 10 1 32
12025833 5 1 32
12025931 10 1 33
12025932 3 1 33
12025933 0 1 33
12026032 1 1 33
12126131 3 1 33
12126132 3 1 33
12126133 2 1 33
12126231 9 1 33
12126232 8 1 33
12126233 1 1 33
12126331 0 1 33
12126332 0 1 33
12126333 4 1 33
12226432 0 1 33
12226433 10 1 33
12226531 6 1 33
12226532 1 1 33
12226533 10 1 33
12226631 3 1 33
12226632 0 1 33
12226633 9 1 33
12326731 6 1 34
12326732 0 1 34
12326733 1 1 34
12326831 6 1 34
12326832 9 1 34
12326833 1 1 34
12326931 6 1 34
12326932 1 1 34
12326933 1 1 34
12427031 8 1 34
12427032 0 1 34
12427033 0 1 34
12427131 8 1 34
12427132 2 1 34
12427133 1 1 34
12427231 8 1 34
12427232 4 1 34
12427233 2 1 34
12527331 6 1 34
12527332 9 1 34
12527333 2 1 34
12527431 0 1 34
12527432 3 1 34
12527531 1 1 35
12527532 3 1 35
12527533 0 1 35
12627632 8 1 35
12627633 1 1 35
12627731 2 1 35
12627732 0 1 35
12627733 7 1 35
12627831 2 1 35
12627833 0 1 35
12727931 2 1 35
