1 0 11123131 1 1 7
1 0 11123132 1 1 7
2 0 11123141 2 1 7
2 1 11123142 2 1 7
2 1 11123143 2 1 7
1 1 11123231 1 1 7
1 2 11123232 1 1 7
1 0 11123233 1 1 7
2 0 11123241 2 1 7
2 0 11123242 2 1 7
2 0 11123243 2 1 7
1 1 11123331 1 1 7
1 1 11123332 1 1 7
1 0 11123333 1 1 7
2 1 11123341 2 1 7
2 0 11123342 2 1 7
2 0 11123343 2 1 7
1 3 112131 1 1 3
1 2 112132 1 1 3
1 5 112133 1 1 3
2 4 112141 2 1 3
2 1 112143 2 1 3
1 0 112231 1 1 3
1 3 112232 1 1 3
1 0 11223431 1 1 7
1 0 11223432 1 1 7
1 0 11223433 1 1 7
2 0 11223441 2 1 7
2 0 11223442 2 1 7
2 0 11223443 2 1 7
1 10 11223531 1 1 7
1 1 11223532 1 1 7
1 10 11223533 1 1 7
2 0 11223541 2 1 7
2 1 11223542 2 1 7
2 0 11223543 2 1 7
1 2 11223631 1 1 7
1 0 11223632 1 1 7
1 0 11223633 1 1 7
2 0 11223641 2 1 7
2 0 11223642 2 1 7
2 0 11223643 2 1 7
2 0 112241 2 1 3
2 0 112242 2 1 3
2 0 112243 2 1 3
1 8 112331 1 1 3
1 8 112332 1 1 3
1 5 112333 1 1 3
2 0 112341 2 1 3
2 0 112342 2 1 3
2 0 112343 2 1 3
1 9 11323731 1 1 7
1 0 11323732 1 1 7
1 1 11323733 1 1 7
2 0 11323741 2 1 7
2 0 11323742 2 1 7
2 2 11323743 2 1 7
1 10 11323831 1 1 7
1 0 11323832 1 1 7
1 9 11323833 1 1 7
2 0 11323841 2 1 7
2 0 11323842 2 1 7
2 1 11323843 2 1 7
1 0 11323931 1 1 8
1 2 11323932 1 1 8
1 0 11323933 1 1 8
2 0 11323941 2 1 8
2 0 11323942 2 1 8
2 1 11323943 2 1 8
1 10 11424031 1 1 8
1 2 11424032 1 1 8
1 2 11424033 1 1 8
2 5 11424041 2 1 8
2 4 11424042 2 1 8
2 8 11424043 2 1 8
1 3 11424131 1 1 8
1 5 11424132 1 1 8
1 0 11424133 1 1 8
2 6 11424141 2 1 8
2 3 11424142 2 1 8
2 1 11424143 2 1 8
1 8 11424231 1 1 8
1 2 11424232 1 1 8
1 8 11424233 1 1 8
2 8 11424241 2 1 8
2 8 11424242 2 1 8
1 0 11524331 1 1 8
1 1 11524332 1 1 8
1 2 11524333 1 1 8
2 2 11524341 2 1 8
2 0 11524342 2 1 8
2 2 11524343 2 1 8
1 4 11524431 1 1 8
1 10 11524432 1 1 8
1 10 11524433 1 1 8
2 2 11524441 2 1 8
2 0 11524442 2 1 8
2 5 11524443 2 1 8
1 4 11524531 1 1 8
1 8 11524532 1 1 8
1 0 11524533 1 1 8
2 1 11524541 2 1 8
2 0 11524542 2 1 8
2 0 11524543 2 1 8
1 9 11624631 1 1 8
1 3 11624632 1 1 8
1 10 11624633 1 1 8
2 0 11624641 2 1 8
2 0 11624642 2 1 8
2 3 11624643 2 1 8
1 10 11624731 1 1 9
1 10 11624732 1 1 9
1 10 11624733 1 1 9
2 0 11624741 2 1 9
2 0 11624742 2 1 9
2 0 11624743 2 1 9
1 10 11624831 1 1 9
1 8 11624832 1 1 9
1 9 11624833 1 1 9
2 0 11624841 2 1 9
2 0 11624842 2 1 9
2 0 11624843 2 1 9
1 1 11724931 1 1 9
1 6 11724932 1 1 9
1 1 11724933 1 1 9
2 0 11724941 2 1 9
2 7 11724942 2 1 9
2 7 11724943 2 1 9
1 6 11725031 1 1 9
1 0 11725032 1 1 9
1 0 11725033 1 1 9
2 3 11725041 2 1 9
2 0 11725042 2 1 9
2 0 11725043 2 1 9
1 4 11725131 1 1 9
1 7 11725132 1 1 9
1 6 11725133 1 1 9
2 0 11725141 2 1 9
2 2 11725142 2 1 9
1 1 11825231 1 1 9
1 1 11825232 1 1 9
1 5 11825233 1 1 9
2 0 11825241 2 1 9
2 0 11825242 2 1 9
1 0 11825331 1 1 9
