"","traitmDR:traitmDR.animal","traitfDR:traitmDR.animal","traitmDR:traitfDR.animal","traitfDR:traitfDR.animal","traitmDR:traitmDR.round.sec","traitfDR:traitmDR.round.sec","traitmDR:traitfDR.round.sec","traitfDR:traitfDR.round.sec","traitmDR.units","traitfDR.units"
"108",0.0175803118834397,0.0719616995610562,0.0719616995610562,0.0318360202592832,0.00371668509414241,7.99137947057327e-05,7.99137947057327e-05,0.00810249737601153,3.66996807713046,22.4865471537025
"109",0.00330169009085268,-0.00484561620664337,-0.00484561620664337,0.00972472448613908,0.00146144451688547,0.000195074173536897,0.000195074173536897,0.00503108812891568,4.08093567670148,23.2507022262574
"110",0.0116018375579097,-0.00275141707783244,-0.00275141707783244,0.0325134592501905,0.0053117719330716,0.00105728083218914,0.00105728083218914,0.00960389330084088,3.96675941631724,23.1644288839087
"111",0.00750304230575962,-0.00172641444435095,-0.00172641444435095,0.0314289592486821,0.00594857265332544,0.00149112103796578,0.00149112103796578,0.00752277886844315,3.83545072929339,23.9821969151236
"112",0.0105229993487953,-8.98393084702853e-06,-8.98393084702853e-06,0.00986979969836569,0.00386388404997588,-0.00481281953534751,-0.00481281953534751,0.00767272909047908,3.90548388413018,24.644074590926
"113",0.309462311966621,0.558359633144872,0.558359633144872,0.151391008292263,0.00356839392751244,-0.000402848366780617,-0.000402848366780617,0.00465910907642545,3.26482461200991,23.1063364280845
"114",0.00482630187095834,0.00106184914316176,0.00106184914316176,0.021838208136077,0.00811636539835838,0.000362326023213344,0.000362326023213344,0.0234275898972887,3.81886217635829,22.4715257109911
"115",0.00571596869474827,-8.19683961504891e-05,-8.19683961504891e-05,0.0114375347817742,0.00486181915374134,0.00214519286479797,0.00214519286479797,0.00975041125110645,4.05238029517385,23.9905634508986
"116",0.00530641353407029,-0.00169873131233411,-0.00169873131233411,0.01328254998851,0.00263465577430632,0.00683916071578522,0.00683916071578522,0.00672265949234467,4.04744830309998,23.7828485884032
"117",0.00533031379439206,0.00236468439122106,0.00236468439122106,0.0160515937444669,0.00165576801284896,-0.00120932503632931,-0.00120932503632931,0.012126903050304,3.7835071499628,23.6821134778127
"118",0.00630787258835648,0.000228530707541419,0.000228530707541419,0.00977769804504753,0.00176333801756439,-0.00103146386024844,-0.00103146386024844,0.00642928068728298,3.9357533454338,22.3377634399887
"119",0.00670810005777954,-0.00435136648640322,-0.00435136648640322,0.0120799792572151,0.00404081468312699,-0.000806744138619864,-0.000806744138619864,0.0142689874889871,4.15057047144725,22.9277964969933
"120",0.00436140787956909,0.00165263416265149,0.00165263416265149,0.00724205077622993,0.00447512945015369,-0.000385473119831059,-0.000385473119831059,0.00761690862129238,3.93855415448886,22.9508561442103
"121",0.00530313983434358,-0.00243436469061376,-0.00243436469061376,0.0275804123415853,0.0027316189068242,0.00306786555465108,0.00306786555465108,0.0114449605509884,4.01003257849191,23.7383013263927
"122",0.023969741555442,0.00157953458214188,0.00157953458214188,0.0105602228703157,0.00255584767135894,0.00511404854259237,0.00511404854259237,0.0071514657576228,3.83995658607023,22.9740935332266
"123",0.0171236228972999,-0.00852209495427292,-0.00852209495427292,0.0180291585342813,0.00453112460210241,0.000723519480660434,0.000723519480660434,0.00717634496476387,3.95620594187744,24.213079191526
"124",0.00778559191128311,0.00754822400430322,0.00754822400430322,0.0131900123195946,0.00378379200224692,-0.00171941591931546,-0.00171941591931546,0.0160623017771654,4.09090329482393,23.9540389019099
"125",0.00657659767936044,-0.00222625783658525,-0.00222625783658525,0.0174315460260643,0.00243924697901089,-0.000806155566661082,-0.000806155566661082,0.00462344781767879,3.98313572995803,24.6549422328969
"126",0.00754498261920149,0.00895918203761825,0.00895918203761825,0.0464316267305495,0.0042156788685892,0.00228948724461275,0.00228948724461275,0.00555427191948099,3.97381331684399,21.7138568647609
"127",0.015329376123053,0.00271166311673043,0.00271166311673043,0.0333569013251527,0.00358157309559065,-0.000201519169613307,-0.000201519169613307,0.0077215932835903,3.80621112392009,22.3149103213625
"128",0.0520828699788654,0.0336626208904027,0.0336626208904027,0.0197808762452312,0.00327334915835794,0.000506354519678565,0.000506354519678565,0.0083701059332086,3.75758922694708,24.1819980842466
"129",0.0173986547319459,0.00291523412869155,0.00291523412869155,0.0610096523456916,0.00213230322402165,-0.000414849130322303,-0.000414849130322303,0.00704619457424385,3.9707292044899,24.0287336385495
"130",0.00925578237765852,-0.000278515921880884,-0.000278515921880884,0.0282590987017559,0.00595855150277226,-0.00510591538976191,-0.00510591538976191,0.0155637537363982,3.88852553723802,22.2558272061672
"131",0.0104485063086453,0.00937573912244516,0.00937573912244516,0.0205361096691326,0.00287575217245451,0.000160277316754581,0.000160277316754581,0.0114253239851074,3.81822901051335,23.1954209755969
"132",0.00607922491440771,-0.000883116962770991,-0.000883116962770991,0.0146786042570621,0.0028050659712698,-0.00169909196951168,-0.00169909196951168,0.00624972263209921,3.9557552275726,22.9667587162194
"133",0.00525098381506541,-0.00472592628066837,-0.00472592628066837,0.00476785714133809,0.00166798171485917,7.3368467832402e-05,7.3368467832402e-05,0.00450445498216029,3.7509407311657,24.1066153215839
"134",0.00460694853207651,-0.00260848643742828,-0.00260848643742828,0.00949005777886893,0.0070314004749259,0.011686130731034,0.011686130731034,0.00932381099400954,4.08397424485092,23.3337333624806
"135",0.00771893146149614,-0.00330413512200267,-0.00330413512200267,0.0259066243440627,0.00291822093725031,-0.000625033930162222,-0.000625033930162222,0.0132282148166212,3.6652552872569,23.7535257967094
"136",0.00619010726766684,-0.00439281992330853,-0.00439281992330853,0.0327682459731255,0.00386346642842937,-0.00101094672702373,-0.00101094672702373,0.00671256250720439,3.79950298401788,22.8938375521277
"137",0.00441527112857914,-0.000888888272065513,-0.000888888272065513,0.0080377886604502,0.00431286053099928,0.00472840411439063,0.00472840411439063,0.00740977412469922,3.89369336455164,22.955149780801
"138",0.00366882147507076,-0.00286499209683033,-0.00286499209683033,0.0137867874678543,0.00454633184888255,0.000304548248289654,0.000304548248289654,0.0120529362554712,4.1284702186485,23.9667587159377
"139",0.00505253166786715,0.00182015679271408,0.00182015679271408,0.0342810136365182,0.00158375824472747,0.000524725590089897,0.000524725590089897,0.00917428011192663,4.08174464631506,22.6506814790368
